split,dataset_part,scene_name,local_class,candidate_global_person_id,sample_image_path
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,01,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_111404841.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,01,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_148515680.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,01,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_179238350.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,01,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_280708555.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,01,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_313749638.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,02,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_111404841.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,02,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_148515680.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,02,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_179238350.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,02,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_280708555.png
train,dataset_part1,footpath1_1walk_1stand_st_11_12_2024_1_label,02,UNKNOWN,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_1walk_1stand_st_11_12_2024_1_label/sensor_data/cam_fish_front/1731409262_313749638.png
